,UKPRN,normalised_name,common_name,STREET_NAME,TOWN,POSTCODE,WEBSITE_URL,longitude,latitude,top_level_web_domain,region
121,10003645.0,KING'S COLLEGE LONDON,King's College London,STRAND,LONDON,WC2R 2LS,http://www.kcl.ac.uk/,-0.11691199999999999,51.510734,kcl.ac.uk,London
122,10007782.0,"ST. GEORGE'S, UNIVERSITY OF LONDON",St George's Hospital Medical School,CRANMER TERRACE,LONDON,SW17 0RE,http://www.sgul.ac.uk/,-0.173355,51.427985,sgul.ac.uk,London
123,10004775.0,NORWICH UNIVERSITY OF THE ARTS,Norwich University College of the Arts,REDWELL STREET,NORWICH,NR2 4SN,http://www.nua.ac.uk/,1.2966,52.630313,nua.ac.uk,Eastern
124,10003854.0,LEEDS COLLEGE OF ART,Leeds College of Art,BLENHEIM WALK,LEEDS,LS2 9AQ,http://www.leeds-art.ac.uk/,-1.55178,53.808463,leeds-art.ac.uk,Yorkshire and The Humber
125,10007759.0,ASTON UNIVERSITY,Aston University,THE ASTON TRIANGLE,BIRMINGHAM,B4 7ET,http://www.aston.ac.uk/,-1.8909470000000002,52.486651,aston.ac.uk,West Midlands
126,10007848.0,UNIVERSITY OF CHESTER,University of Chester,PARKGATE ROAD,CHESTER,CH1 4BJ,http://www.chester.ac.uk/,-2.898063,53.198657,chester.ac.uk,North West
127,10007783.0,UNIVERSITY OF ABERDEEN,University of Aberdeen,REGENT WALK,ABERDEEN,AB24 3FX,http://www.abdn.ac.uk/,-2.099129,57.165003000000006,abdn.ac.uk,Scotland
128,10007798.0,THE UNIVERSITY OF MANCHESTER,The University of Manchester,OXFORD ROAD,MANCHESTER,M13 9PL,http://www.manchester.ac.uk/,-2.233222,53.467943000000005,manchester.ac.uk,North West
129,10005561.0,ROYAL CONSERVATOIRE OF SCOTLAND,Royal Conservatoire of Scotland,RENFREW STREET,GLASGOW,G2 3DB,http://www.rcs.ac.uk/,-4.257632,55.86614,rcs.ac.uk,Scotland
130,10007154.0,"UNIVERSITY OF NOTTINGHAM, THE",University of Nottingham,UNIVERSITY PARK,NOTTINGHAM,NG7 2RD,http://www.nottingham.ac.uk/,-1.186477,52.94127099999999,nottingham.ac.uk,East Midlands
