institution,address,latitude,longitude,region,description
ARCHER Software Carpentry @ The University of Leicester,"IT Room 2, David Wilson Library, University Rd, Leicester, LE1 9QD",52.620365,-1.124965,East Midlands,"ARCHER Software Carpentry @ The University of Leicester, IT Room 2, David Wilson Library, University Rd, Leicester, LE1 9QD"
King's College London,"King's College London Guy's Campus, London, SE1 3RR",51.504001,-0.08779400000000001,London,"King's College London, King's College London Guy's Campus, London, SE1 3RR"
The University of Edinburgh,Hudson Beare Classroom 8 (ground floor),55.92253,-3.171358,Scotland,"The University of Edinburgh, Hudson Beare Classroom 8 (ground floor)"
Imperial College London,"SALC 7, Sherfield building level 5, South Kensington Campus, Imperial College London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, SALC 7, Sherfield building level 5, South Kensington Campus, Imperial College London, SW7 2AZ"
University of Manchester,HBS,53.466722,-2.236463,North West,"University of Manchester, HBS"
Swansea University,"Room 218, Wallace Building, Swansea University, Singleton Park, Sketty, Swansea SA2 8PP",51.608948999999996,-3.981289,Wales,"Swansea University, Room 218, Wallace Building, Swansea University, Singleton Park, Sketty, Swansea SA2 8PP"
University of Oxford,"Meeting Room L1Ax, BDI Building, Old Road Campus, Headington",51.752771,-1.214858,South East,"University of Oxford, Meeting Room L1Ax, BDI Building, Old Road Campus, Headington"
University of Oxford,"1st floor Seminar Room, Ioannou Centre for Classical and Byzantine Studies, 66 St Giles', Oxford OX1 3LU",51.756858,-1.260276,South East,"University of Oxford, 1st floor Seminar Room, Ioannou Centre for Classical and Byzantine Studies, 66 St Giles', Oxford OX1 3LU"
University College London,"Rooms 1 and 2 in 188 Tottenham Court Road, London W1T 7PH",51.521712,-0.13517200000000001,London,"University College London, Rooms 1 and 2 in 188 Tottenham Court Road, London W1T 7PH"
University of Manchester,Humanities Bridgeford St. (Building 35),53.466722,-2.236463,North West,"University of Manchester, Humanities Bridgeford St. (Building 35)"
ARCHER - Imperial College London,"PC lab in Sir Ernst Chain 311, 7 Imperial College Rd, Kensington, London SW7 2AZ",51.497687,-0.178248,London,"ARCHER - Imperial College London, PC lab in Sir Ernst Chain 311, 7 Imperial College Rd, Kensington, London SW7 2AZ"
University of Southampton,"Room 3011, Building 34, Highfield Campus, University of Southampton",50.934433,-1.39535,South East,"University of Southampton, Room 3011, Building 34, Highfield Campus, University of Southampton"
University of St Andrews,Room TBC,56.34124,-2.809338,Scotland,"University of St Andrews, Room TBC"
Earlham Institute,"Norwich Research Park, Norwich, NR4 7UZ",52.621793000000004,1.2194610000000001,Eastern,"Earlham Institute, Norwich Research Park, Norwich, NR4 7UZ"
"University College London, High-Energy Physics Group","Lab 2, Physics Building, UCL, Gower Street, London WC1E 6BT",51.525334,-0.133491,London,"University College London, High-Energy Physics Group, Lab 2, Physics Building, UCL, Gower Street, London WC1E 6BT"
University of Southampton,Old Thorns Manor Hotel Gold & Country Estate,51.074874,-0.832234,South East,"University of Southampton, Old Thorns Manor Hotel Gold & Country Estate"
"The National Archives, Kew","J31 Park, B&Q, Motherwell Way, Aveley RM20 3EH, United Kingdom",51.4816,0.2799,Eastern,"The National Archives, Kew, J31 Park, B&Q, Motherwell Way, Aveley RM20 3EH, United Kingdom"
University of Manchester,"PC Cluster 1, Stopford Building, 99 Oxford Rd, Manchester M13 9PG",53.464090399999996,-2.2296408,North West,"University of Manchester, PC Cluster 1, Stopford Building, 99 Oxford Rd, Manchester M13 9PG"
Imperial College London,"Kensington, London SW7 2AZ",51.498846,-0.17678670000000002,London,"Imperial College London, Kensington, London SW7 2AZ"
"University of Glasgow, Future of Computational Science Event","Level 5, School of Computing Science, Sir Alwyn Williams Building, University of Glasgow, Glasgow, G12 8QQ",55.87389,-4.291815,Scotland,"University of Glasgow, Future of Computational Science Event, Level 5, School of Computing Science, Sir Alwyn Williams Building, University of Glasgow, Glasgow, G12 8QQ"
The Francis Crick Institute,"1 Midland Rd, Kings Cross, London NW1 1AT",51.53183,-0.12825,London,"The Francis Crick Institute, 1 Midland Rd, Kings Cross, London NW1 1AT"
University of Oxford,"Oxford e-Research Centre (7 Keble Road ,Oxford, OX1 3QG)",51.760053000000006,-1.258617,South East,"University of Oxford, Oxford e-Research Centre (7 Keble Road ,Oxford, OX1 3QG)"
Earlham Institute,"Darwin Room, Norwich Research Park, Norwich, NR4 7UZ, United Kingdom",52.621741,1.218987,Eastern,"Earlham Institute, Darwin Room, Norwich Research Park, Norwich, NR4 7UZ, United Kingdom"
"Streatham Campus, University of Exeter","Stocker Road, Exeter, EX4 4QD",50.736981,-3.53424,South West,"Streatham Campus, University of Exeter, Stocker Road, Exeter, EX4 4QD"
University of Oxford,"Department of Anthropology,64 Banbury Road, Oxford OX2 6PE",51.764476,-1.2603280000000001,South East,"University of Oxford, Department of Anthropology,64 Banbury Road, Oxford OX2 6PE"
University College London,"Room D3, Physics Building, Gower Street, London WC1E 6BT",51.52528389,-0.133528483,London,"University College London, Room D3, Physics Building, Gower Street, London WC1E 6BT"
University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",52.201951,0.12251400000000001,Eastern,"University of Cambridge, Bioinformatics Training Room, Craik-Marshall Building, Downing Site"
University of Manchester,"Collab 1, Kilburn Building, Oxford Road, Manchester M13 9PL",53.467380000000006,-2.2340869999999997,North West,"University of Manchester, Collab 1, Kilburn Building, Oxford Road, Manchester M13 9PL"
University of Sheffield,"Workroom 1 (G04), Diamond, 32 Leavygreave Rd, Sheffield S3 7RD",53.381590599999996,-1.4817909,Yorkshire and The Humber,"University of Sheffield, Workroom 1 (G04), Diamond, 32 Leavygreave Rd, Sheffield S3 7RD"
University of Southampton,"Room 2207/2209, Building 85 (Biological Sciences Building)",50.936484,-1.395341,South East,"University of Southampton, Room 2207/2209, Building 85 (Biological Sciences Building)"
