institution,country_code,taught_workshops,taught_workshop_dates,domains,badges,badges_dates,airport,airport_code,airport_latitude,airport_longitude
"EPCC, University of Edinburgh",GB,"2019-03-28-heriotwatt,2019-06-26-heriotwatt,2019-09-04-edinburgh-swc,2020-01-21-edinburgh-swc","2019-03-28,2019-06-26,2019-09-04,2020-01-21","Mathematics/statistics,Computer science/electrical engineering,Physics,High performance computing",swc-instructor,2020-08-27,Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,GB,"2018-10-08-edinburgh-igmm-shell,2019-09-04-edinburgh-swc,2020-01-21-edinburgh-swc,2020-11-17-edinburgh-swc-online","2018-10-09,2019-09-04,2020-01-21,2020-11-17",,swc-instructor,2020-08-17,,,,
"Cancer Research UK Cambridge Institute, Univeristy of Cambridge",GB,2019-01-15-CRUK-Cambridge-DCinR,2019-01-15,"Genetics, genomics, bioinformatics",dc-instructor,2019-01-29,,,,
University of Birmingham,GB,,,"Genetics, genomics, bioinformatics,Computer science/electrical engineering,Mathematics/statistics,High performance computing",swc-instructor,2019-03-04,,,,
Imperial College London,GB,"2019-05-01-Imperial,2019-11-14-Imperial","2019-05-01,2019-11-14","Physics,Computer science/electrical engineering",swc-instructor,2019-02-27,London Gatwick,LGW,51.148056,-0.190278
University of Birmingham,GB,,,"Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2019-02-20,Birmingham,BHX,52.453610999999995,-1.7477779999999998
University of Birmingham,GB,2019-06-19-bham,2019-06-19,"Humanities,High performance computing",swc-instructor,2019-03-04,Birmingham,BHX,52.453610999999995,-1.7477779999999998
University of Birmingham,GB,2019-05-15-bham,2019-05-15,"Physics,Genetics, genomics, bioinformatics",swc-instructor,2019-03-21,,,,
Imperial College London,GB,2019-05-01-Imperial,2019-05-01,"Mathematics/statistics,Computer science/electrical engineering,High performance computing",swc-instructor,2019-02-20,,,,
The Alan Turing Institute,GB,,,Physics,swc-instructor,2019-03-04,,,,
University of Edinburgh,GB,"2019-01-23-edinburgh-geosc-sc,2020-01-29-edinburgh","2019-01-23,2020-01-29","Planetary sciences (geology, climatology, oceanography, etc.),High performance computing,Physics,Computer science/electrical engineering",swc-instructor,2020-08-27,Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,GB,"2019-10-07-unixshell,2020-09-17-IGMM-swdc","2019-10-07,2020-09-17","Genetics, genomics, bioinformatics",swc-instructor,2019-09-09,Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,GB,2019-02-20-edinburgh-sbs-dc,2019-02-20,"Genetics, genomics, bioinformatics",dc-instructor,2019-09-24,Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,GB,,,"Genetics, genomics, bioinformatics",dc-instructor,2021-10-11,Edinburgh,EDI,55.95,-3.3725
"University of Edinburgh, Edinburgh College of Art",GB,"2019-12-10-heriotwatt,2020-11-25-edinburgh-dc-digital-humanities","2019-12-10,2020-11-25",Humanities,swc-instructor,2020-08-19,Edinburgh,EDI,55.95,-3.3725
University of Oxford,GB,,,"Mathematics/statistics,Psychology/neuroscience,Social sciences,Computer science/electrical engineering",swc-instructor,2020-03-09,,,,
University of St Andrews,GB,,,"Mathematics/statistics,Organismal biology (ecology, botany, zoology, microbiology)",dc-instructor,2019-07-02,,,,
University of Bristol,GB,,,"Mathematics/statistics,Humanities,Genetics, genomics, bioinformatics",swc-instructor,2019-11-23,,,,
University of Edinburgh,GB,,,"Physics,Civil, mechanical, chemical, or nuclear engineering,Computer science/electrical engineering,Mathematics/statistics,High performance computing",swc-instructor,2019-10-10,,,,
University of Birmingham,GB,,,Humanities,swc-instructor,2019-10-02,,,,
University of Bath,GB,,,"Library and information science,Physics",lc-instructor,2019-08-27,Bristol,BRS,51.3825,-2.718889
Queen Mary University of London,GB,"2020-11-25-rslondon,2021-05-20-rslondon-python,2021-05-20-rslondon-R","2020-11-25,2021-05-20,2021-05-20","Mathematics/statistics,High performance computing",swc-instructor,2020-02-03,,,,
British Library,GB,,,"Humanities,Library and information science",lc-instructor,2019-09-19,Stansted,STN,51.885,0.235
University of Birmingham,GB,,,Library and information science,swc-instructor,2019-10-17,,,,
University of York,GB,,,Library and information science,lc-instructor,2019-08-15,,,,
University of York,GB,,,"Humanities,Library and information science",swc-instructor,2019-08-21,,,,
The Alan Turing Institute,GB,,,,swc-instructor,2019-10-02,,,,
University of Edinburgh,GB,"2019-02-07-Edinburgh-OpenRefine,2019-11-15-edinburgh-library-carpentry,2020-11-17-edinburgh-swc-online","2019-02-07,2019-11-15,2020-11-17","Library and information science,Genetics, genomics, bioinformatics",dc-instructor,2019-11-28,,,,
Cambridge University Press,GB,,,Library and information science,lc-instructor,2020-01-27,,,,
"Government Digital Service, Cabinet Office, UK Government",GB,,,"Mathematics/statistics,Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2019-10-15,London Heathrow,LHR,51.4775,-0.46138900000000005
The British Library,GB,,,"Organismal biology (ecology, botany, zoology, microbiology),Education,Library and information science,Humanities,Social sciences,Genetics, genomics, bioinformatics",lc-instructor,2020-01-15,London Heathrow,LHR,51.4775,-0.46138900000000005
King's College London,GB,"2020-11-18-KCL,2021-05-12-KCL-online,2021-06-09-KCL-online,2021-11-16-KCL-online,2021-11-24-KCL-online","2020-11-18,2021-05-12,2021-06-09,2021-11-16,2021-11-24","Physics,Organismal biology (ecology, botany, zoology, microbiology),Medicine,Civil, mechanical, chemical, or nuclear engineering,Computer science/electrical engineering",swc-instructor,2019-10-15,Stansted,STN,51.885,0.235
King's College London,GB,"2020-11-18-KCL,2021-05-12-KCL-online,2021-06-09-KCL-online,2021-11-16-KCL-online,2021-11-24-KCL-online","2020-11-18,2021-05-12,2021-06-09,2021-11-16,2021-11-24","Computer science/electrical engineering,Genetics, genomics, bioinformatics",swc-instructor,2019-10-23,,,,
King's College London,GB,2021-03-03-KCL-OpenRefine,2021-03-03,"Planetary sciences (geology, climatology, oceanography, etc.),Humanities",swc-instructor,2019-10-10,,,,
University of Leeds,GB,,,"Social sciences,Mathematics/statistics",dc-instructor,2020-02-07,,,,
University of Leeds,GB,,,"Social sciences,Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2020-01-10,,,,
University of Leeds,GB,,,Library and information science,dc-instructor,2019-11-05,,,,
University of Leeds,GB,,,"Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2019-12-07,,,,
University of Leeds,GB,,,"Genetics, genomics, bioinformatics,Medicine,Computer science/electrical engineering,Mathematics/statistics,High performance computing,Organismal biology (ecology, botany, zoology, microbiology)",dc-instructor,2020-12-21,,,,
The University of Edinburgh,GB,,,"Education,High performance computing,Social sciences,Genetics, genomics, bioinformatics",swc-instructor,2020-01-03,Edinburgh,EDI,55.95,-3.3725
The Sainsbury Laboratory,GB,,,"High performance computing,Genetics, genomics, bioinformatics",swc-instructor,2020-01-13,,,,
UCL,GB,"2020-07-27-UCL_hpc_carpentry-online,2021-05-20-rslondon-python,2021-05-20-rslondon-R","2020-07-27,2021-05-20,2021-05-20","High performance computing,Computer science/electrical engineering,Physics",swc-instructor,2021-05-17,,,,
University of Edinburgh,GB,"2019-06-26-heriotwatt,2019-09-04-edinburgh-swc,2020-01-29-edinburgh,2020-06-04-sfc-online,2020-05-26-sfc-online,2021-03-04-edinburgh-library-carpentry,2021-03-29-sfc-dc","2019-06-26,2019-09-04,2020-01-29,2020-06-04,2020-05-26,2021-03-04,2021-03-29","Planetary sciences (geology, climatology, oceanography, etc.)",dc-instructor,2020-10-01,Edinburgh,EDI,55.95,-3.3725
University of Manchester,GB,,,Psychology/neuroscience,dc-instructor,2019-12-08,,,,
University of Manchester,GB,,,Computer science/electrical engineering,swc-instructor,2020-02-15,,,,
Swansea University,GB,2020-01-08-swansea,2020-01-08,"Civil, mechanical, chemical, or nuclear engineering,High performance computing",swc-instructor,2019-11-13,,,,
University of York,GB,,,"Organismal biology (ecology, botany, zoology, microbiology),Mathematics/statistics,Genetics, genomics, bioinformatics",dc-instructor,2019-12-10,Leeds,LBA,53.865832999999995,-1.6605560000000001
University of St Andrews,GB,2021-05-07-standrews-online,2021-05-07,"Mathematics/statistics,Physics",swc-instructor,2020-01-15,Edinburgh,EDI,55.95,-3.3725
UK Atomic Energy Authority,GB,"2020-01-15-ukaea-swcarpentry,2020-05-29-ukaea-swcarpentry,2020-03-20-ukaea-swcarpentry","2020-01-15,2020-05-29,2020-03-20","Computer science/electrical engineering,Education",swc-instructor,2019-12-20,London Heathrow,LHR,51.4775,-0.46138900000000005
"Swansea Academy of Advanced Computing, Swansea University",GB,"2020-01-08-swansea,2019-02-07-swansea,2020-10-19-swansea,2020-11-23-swansea,2021-01-25-swansea,2021-04-26-swansea-online,2021-10-18-swansea-online,2022-01-17-swansea-online,2021-11-10-swansea-online,2021-12-06-swansea-online","2020-01-08,2019-02-07,2020-10-19,2020-11-23,2021-01-25,2021-04-26,2021-10-18,2022-01-17,2021-11-10,2021-12-06","High performance computing,Physics",dc-instructor,2020-01-06,,,,
University of Manchester,GB,,,,swc-instructor,2019-11-28,,,,
University College London,GB,"2019-11-04-UCL_software_carpentry,2020-07-27-UCL_hpc_carpentry-online,2021-07-19-UCL-software-carpentry-online","2019-11-04,2020-07-27,2021-07-19","High performance computing,Physics,Space sciences",swc-instructor,2020-01-15,,,,
Imperial College London,GB,,,"Civil, mechanical, chemical, or nuclear engineering",swc-instructor,2019-11-17,,,,
Imperial College London,GB,,,Computer science/electrical engineering,swc-instructor,2020-01-10,,,,
University College London,GB,"2019-07-15-UCL_software_carpentry,2019-11-04-UCL_software_carpentry,2020-09-30-UCL","2019-07-15,2019-11-04,2020-09-30","Space sciences,Physics,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2020-01-15,,,,
UK Atomic Energy Authority,GB,"2020-01-15-ukaea-swcarpentry,2020-05-29-ukaea-swcarpentry,2020-03-20-ukaea-swcarpentry","2020-01-15,2020-05-29,2020-03-20",Physics,swc-instructor,2019-11-23,,,,
"Culham Centre for Fusion Energy, UKAEA",GB,"2020-01-15-ukaea-swcarpentry,2020-05-29-ukaea-swcarpentry,2020-03-20-ukaea-swcarpentry","2020-01-15,2020-05-29,2020-03-20","Civil, mechanical, chemical, or nuclear engineering",swc-instructor,2020-01-10,,,,
University College London,GB,2020-02-18-UCL,2020-02-18,Mathematics/statistics,dc-instructor,2019-12-07,,,,
Imperial College London,GB,2021-05-20-rslondon-python,2021-05-20,"Genetics, genomics, bioinformatics,Chemistry",swc-instructor,2019-12-07,London Heathrow,LHR,51.4775,-0.46138900000000005
University College London,GB,2019-09-25-UCL_software_carpentry,2019-09-25,"Computer science/electrical engineering,Medicine,Genetics, genomics, bioinformatics,Education",swc-instructor,2019-11-28,,,,
Queen Mary University London,GB,"2019-11-14-Imperial,2021-05-20-rslondon-python","2019-11-14,2021-05-20","Computer science/electrical engineering,Physics",swc-instructor,2020-08-19,,,,
Imperial College London,GB,,,"Organismal biology (ecology, botany, zoology, microbiology),Genetics, genomics, bioinformatics,Medicine",swc-instructor,2019-12-20,London Heathrow,LHR,51.4775,-0.46138900000000005
Imperial College London,GB,2019-11-14-Imperial,2019-11-14,"Civil, mechanical, chemical, or nuclear engineering,Mathematics/statistics,Physics,Education",swc-instructor,2020-01-15,,,,
University of Oxford,GB,,,"Psychology/neuroscience,Education",dc-instructor,2019-12-20,Leeds,LBA,53.865832999999995,-1.6605560000000001
Swansea University,GB,"2021-01-25-swansea,2021-04-26-swansea-online","2021-01-25,2021-04-26","Computer science/electrical engineering,Physics,Chemistry,High performance computing",swc-instructor,2021-04-20,,,,
University of Edinburgh,GB,"2020-01-21-edinburgh-swc,2020-04-16-sfc-online,2020-11-10-ssi-online,2021-03-01-ssi-online","2020-01-21,2020-04-16,2020-11-10,2021-03-01","High performance computing,Chemistry,Physics",dc-instructor,2020-08-13,,,,
Newcastle University,GB,"2020-07-06-Genesis,2020-08-31-SA-ONLINE,2020-11-02-NWU-ONLINE,2020-10-26-NCL-SWC-ONLINE,2020-12-07-NCL-SWC-ONLINE,2021-02-08-NCL-ONLINE,2021-06-28-NICD-ONLINE,2021-09-06-CCZA_LC_2021,2021-07-26-sanger-online,2021-10-04-NCL,2021-10-25-ttt-NWU-Online,2021-10-25-NCL,2021-12-17-ITB-onlineteaching","2020-07-06,2020-08-31,2020-11-02,2020-10-26,2020-12-07,2021-02-08,2021-06-30,2021-09-06,2021-07-26,2021-10-04,2021-10-25,2021-10-25,2021-12-17","High performance computing,Genetics, genomics, bioinformatics,Computer science/electrical engineering",swc-instructor,2020-04-02,Newcastle,NCL,55.0375,-1.6916669999999998
Newcastle University,GB,,,"Organismal biology (ecology, botany, zoology, microbiology)",dc-instructor,2020-06-24,,,,
Cardiff University,GB,,,Social sciences,swc-instructor,2020-10-01,Bristol,BRS,51.3825,-2.718889
University of Oxford,GB,,,"High performance computing,Physics,Chemistry",swc-instructor,2020-07-15,,,,
MRC IGMM Cancer Research UK Edinburgh Centre - The University of Edinburgh,GB,"2020-07-01-sfc-online,2020-06-16-sfc-online,2021-03-29-sfc-dc","2020-07-01,2020-06-16,2021-03-29","Medicine,Computer science/electrical engineering,Psychology/neuroscience,Genetics, genomics, bioinformatics,Economics/business,Mathematics/statistics",dc-instructor,2020-08-11,Edinburgh,EDI,55.95,-3.3725
"University of Edinburgh, School of Biological Sciences",GB,"2020-06-25-edinburgh-dc-genomics,2020-12-01-edinburgh-bio-online","2020-06-25,2020-12-01","Organismal biology (ecology, botany, zoology, microbiology),Genetics, genomics, bioinformatics",dc-instructor,2020-09-22,Edinburgh,EDI,55.95,-3.3725
"GeoSciences, Univ. of Edinburgh",GB,2021-05-07-edinburgh-geosciences-online,2021-05-07,"High performance computing,Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2020-11-24,Edinburgh,EDI,55.95,-3.3725
University of Edinburgh,GB,2021-05-07-edinburgh-geosciences-online,2021-05-07,"Organismal biology (ecology, botany, zoology, microbiology),Computer science/electrical engineering",dc-instructor,2020-09-16,,,,
University of Birmingham,GB,,,"Genetics, genomics, bioinformatics",swc-instructor,2020-08-07,,,,
University of Edinburgh,GB,"2020-02-12-edinburgh,2021-05-18-nhs-online,2021-03-04-edinburgh-library-carpentry","2020-02-12,2021-05-18,2021-03-04","Humanities,Library and information science",dc-instructor,2020-08-19,,,,
University of Lancaster,GB,,,"Psychology/neuroscience,Humanities,Mathematics/statistics",swc-instructor,2020-08-11,,,,
The University of Manchester,GB,,,"Physics,Space sciences",swc-instructor,2020-07-20,Manchester,MAN,53.353611,-2.274722
"MRC Human Genetics Unit, University of Edinburgh",GB,"2020-09-17-IGMM-swdc,2020-11-17-edinburgh-swc-online","2020-09-17,2020-11-17","High performance computing,Genetics, genomics, bioinformatics",swc-instructor,2021-03-22,Edinburgh,EDI,55.95,-3.3725
Newcastle University,GB,"2020-12-07-NCL-SWC-ONLINE,2021-02-08-NCL-ONLINE,2021-03-01-NCL-ONLINE,2021-06-28-NICD-ONLINE","2020-12-07,2021-02-08,2021-03-01,2021-06-30",Computer science/electrical engineering,swc-instructor,2020-10-22,,,,
Newcastle University,GB,"2021-03-01-NCL-ONLINE,2021-04-26-NCL-ONLINE","2021-03-01,2021-04-26",Computer science/electrical engineering,swc-instructor,2021-04-02,,,,
"Digital Research Service & Mathematical Science, The University of Nottingham",GB,,,"Genetics, genomics, bioinformatics,Computer science/electrical engineering,Education",swc-instructor,2020-09-22,,,,
Newcastle University Digital Institute,GB,"2020-10-26-NCL-SWC-ONLINE,2020-12-07-NCL-SWC-ONLINE,2021-03-01-NCL-ONLINE,2021-06-28-NICD-ONLINE","2020-10-26,2020-12-07,2021-03-01,2021-06-30",Computer science/electrical engineering,swc-instructor,2020-10-16,,,,
Newcastle University,GB,"2021-03-01-NCL-ONLINE,2021-04-26-NCL-ONLINE,2021-10-04-NCL","2021-03-01,2021-04-26,2021-10-04","Education,Humanities",swc-instructor,2020-12-09,,,,
Newcastle University,GB,2021-06-28-NICD-ONLINE,2021-06-30,Psychology/neuroscience,swc-instructor,2020-11-30,,,,
Newcastle University,GB,"2021-02-08-NCL-ONLINE,2021-04-26-NCL-ONLINE,2021-06-28-NICD-ONLINE,2021-10-04-NCL,2021-10-25-NCL","2021-02-08,2021-04-26,2021-06-30,2021-10-04,2021-10-25","Physics,Computer science/electrical engineering",swc-instructor,2020-10-13,,,,
Newcastle University,GB,,,"High performance computing,Computer science/electrical engineering",swc-instructor,2020-12-02,,,,
University College London,GB,,,Medicine,dc-instructor,2020-11-24,London Heathrow,LHR,51.4775,-0.46138900000000005
Cardiff University,GB,2020-11-02-cardiff-online,2020-11-02,"High performance computing,Civil, mechanical, chemical, or nuclear engineering",swc-instructor,2020-10-01,,,,
University of Edinburgh,GB,"2021-06-14-CRM,2021-07-12-CRM,2021-10-19-CRM","2021-06-14,2021-07-12,2021-10-19","Genetics, genomics, bioinformatics",swc-instructor,2020-09-28,Edinburgh,EDI,55.95,-3.3725
University College London,GB,,,Physics,swc-instructor,2021-05-17,,,,
UK Atomic Energy Authority,GB,2020-10-19-ukaea-swcarpentry,2020-10-19,"Physics,Mathematics/statistics",swc-instructor,2021-04-26,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Manchester,GB,"2020-11-10-ssi-online,2021-03-01-ssi-online,2021-06-08-manchester-online","2020-11-10,2021-03-01,2021-06-08","Planetary sciences (geology, climatology, oceanography, etc.),High performance computing",swc-instructor,2021-10-14,,,,
King's College London,GB,,,"Psychology/neuroscience,Genetics, genomics, bioinformatics",swc-instructor,2020-11-30,,,,
King's College London,GB,,,"Genetics, genomics, bioinformatics",dc-instructor,2021-01-20,,,,
King's College London,GB,,,"Psychology/neuroscience,Genetics, genomics, bioinformatics",swc-instructor,2020-11-16,,,,
University of Westminster,GB,,,"Education,Computer science/electrical engineering",swc-instructor,2021-06-14,London Heathrow,LHR,51.4775,-0.46138900000000005
Durham University,GB,,,,dc-instructor,2021-05-24,,,,
The Alan Turing Institute,GB,,,"Mathematics/statistics,Physics",swc-instructor,2020-11-24,,,,
University of Birmingham,GB,,,"Genetics, genomics, bioinformatics",swc-instructor,2021-01-11,,,,
University of Edinburgh,,,,"Genetics, genomics, bioinformatics,Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2021-05-24,Edinburgh,EDI,55.95,-3.3725
The Alan Turing Institute,GB,,,"Computer science/electrical engineering,Mathematics/statistics",swc-instructor,2021-03-01,,,,
The Alan Turing Institute,GB,,,"Mathematics/statistics,Physics",swc-instructor,2021-04-20,London Heathrow,LHR,51.4775,-0.46138900000000005
Northeastern University,GB,2021-03-04-edinburgh-library-carpentry,2021-03-04,"Library and information science,Humanities",lc-instructor,2021-03-01,,,,
Department of Plant Sciences - University of Cambridge,GB,,,"High performance computing,Genetics, genomics, bioinformatics",dc-instructor,2021-06-01,,,,
University of Cambridge,GB,2021-09-09-italia-online,2021-09-09,"Genetics, genomics, bioinformatics,Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2021-03-11,,,,
University of Oxford,GB,,,"Genetics, genomics, bioinformatics,Medicine",swc-instructor,2021-03-01,,,,
University of Nottingham,GB,,,"Chemistry,Computer science/electrical engineering,High performance computing",swc-instructor,2021-03-01,,,,
University of St Andrews,GB,,,"Physics,Mathematics/statistics",swc-instructor,2021-02-17,RAF Leuchars Airport,ADX,56.3728981,-2.8684399
Weatheritt Lab at the Garvan Institute and EMBL Australia,GB,,,"High performance computing,Organismal biology (ecology, botany, zoology, microbiology),Genetics, genomics, bioinformatics,Mathematics/statistics",dc-instructor,2021-04-21,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Birmingham,GB,,,Medicine,swc-instructor,2021-06-07,,,,
University of Birmingham,GB,,,"Mathematics/statistics,Education,High performance computing,Medicine",swc-instructor,2021-05-24,,,,
Univeristy of East Anglia,GB,,,"Planetary sciences (geology, climatology, oceanography, etc.)",swc-instructor,2021-04-07,Norwich,NWI,52.675833,1.282778
University of Oxford,GB,,,"Genetics, genomics, bioinformatics",swc-instructor,2021-05-24,London Heathrow,LHR,51.4775,-0.46138900000000005
Pharmatelligence,GB,,,"Social sciences,Medicine,Education",swc-instructor,2021-03-29,,,,
University of Oxford,GB,,,"Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2021-05-26,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Hertfordshire,GB,,,"Physics,Mathematics/statistics,High performance computing,Space sciences",swc-instructor,2021-04-26,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Edinburgh,GB,,,"Mathematics/statistics,Genetics, genomics, bioinformatics",swc-instructor,2021-04-20,,,,
University of Oxford,GB,,,"Education,Genetics, genomics, bioinformatics,Organismal biology (ecology, botany, zoology, microbiology)",dc-instructor,2021-04-12,London Heathrow,LHR,51.4775,-0.46138900000000005
University of Oxford,GB,,,"Computer science/electrical engineering,Social sciences",swc-instructor,2021-07-06,,,,
University of Edinburgh,GB,,,"Genetics, genomics, bioinformatics",dc-instructor,2021-05-24,,,,
University of Bristol,GB,,,"Civil, mechanical, chemical, or nuclear engineering,Mathematics/statistics,Physics",swc-instructor,2021-05-17,,,,
University College London,GB,,,"Physics,High performance computing,Mathematics/statistics,Space sciences,Planetary sciences (geology, climatology, oceanography, etc.),Computer science/electrical engineering",swc-instructor,2021-09-07,,,,
2i2c - The International Interactive Computing Collaboration,GB,,,"Mathematics/statistics,Physics,Space sciences",swc-instructor,2021-06-09,,,,
University of Leeds,GB,"2021-06-24-rice-online,2021-06-08-manchester-online,2021-09-20-uib-online,2021-08-31-mdc_berlin-online,2021-10-11-tudelft-online","2021-06-24,2021-06-08,2021-09-20,2021-08-31,2021-10-11","Chemistry,Physics",swc-instructor,2021-04-07,Manchester,MAN,53.353611,-2.274722
University of Oxofrd,GB,,,"High performance computing,Physics",swc-instructor,2021-06-21,,,,
"School of Biological Sciences, University of Edinburgh",GB,,,"Computer science/electrical engineering,Chemistry",swc-instructor,2021-04-12,,,,
"Cambridge University and National Centre for Atmospheric Science, UK",GB,,,"Planetary sciences (geology, climatology, oceanography, etc.),Chemistry",swc-instructor,2021-06-01,,,,
University of Reading,GB,,,"Mathematics/statistics,Genetics, genomics, bioinformatics,Social sciences,Computer science/electrical engineering,Education",dc-instructor,2021-06-02,London Heathrow,LHR,51.4775,-0.46138900000000005
Univerity of Reading,GB,2021-07-27-Reading-R-Git-Bash,2021-07-27,Psychology/neuroscience,dc-instructor,2021-07-21,,,,
University of Oxford,GB,2021-11-29-oxford-online,2021-11-29,Computer science/electrical engineering,swc-instructor,2021-10-26,,,,
University of Oxford,GB,2021-11-29-oxford-online,2021-11-29,"Genetics, genomics, bioinformatics,Mathematics/statistics",swc-instructor,2021-06-23,,,,
University of Oxford,GB,,,Psychology/neuroscience,dc-instructor,2021-05-17,,,,
University of Oxford,GB,,,Medicine,swc-instructor,2021-05-17,,,,
University of Oxford,GB,,,Medicine,swc-instructor,2021-06-09,,,,
University of Oxford,GB,2021-11-29-oxford-online,2021-11-29,"High performance computing,Genetics, genomics, bioinformatics",swc-instructor,2021-06-09,,,,
"Bodleian Libraries, Oxford University",GB,,,Library and information science,lc-instructor,2021-07-19,,,,
freelance,GB,,,Education,dc-instructor,2021-06-21,London Heathrow,LHR,51.4775,-0.46138900000000005
Newcastle University,GB,2021-06-28-NICD-ONLINE,2021-06-30,Computer science/electrical engineering,swc-instructor,2021-08-30,,,,
Research Associate,GB,,,Chemistry,dc-instructor,2021-08-11,Bristol,BRS,51.3825,-2.718889
University of Oxford,GB,,,Humanities,swc-instructor,2021-09-15,London Heathrow,LHR,51.4775,-0.46138900000000005
Durham University,GB,,,Computer science/electrical engineering,swc-instructor,2021-10-21,Newcastle,NCL,55.0375,-1.6916669999999998
The James Hutton Institute,GB,,,"Mathematics/statistics,Computer science/electrical engineering",swc-instructor,2021-10-11,,,,
"Institute of Genetics and Cancer, University of Edinburgh",GB,,,"Genetics, genomics, bioinformatics,Mathematics/statistics",swc-instructor,2021-07-15,,,,
University of York,GB,,,"Genetics, genomics, bioinformatics",swc-instructor,2021-10-11,,,,
The University of Manchester,GB,,,"Physics,High performance computing",swc-instructor,2021-10-06,,,,
University of York,GB,,,Computer science/electrical engineering,dc-instructor,2021-08-25,,,,
University of Cambridge,GB,,,"Genetics, genomics, bioinformatics,Psychology/neuroscience,Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2021-10-23,,,,
STFC,GB,2021-10-05-ral-online,2021-10-05,"Physics,Computer science/electrical engineering",swc-instructor,2021-08-25,,,,
University of Bristol,GB,,,"High performance computing,Genetics, genomics, bioinformatics,Organismal biology (ecology, botany, zoology, microbiology)",swc-instructor,2021-08-25,Bristol,BRS,51.3825,-2.718889
NHS HEE,GB,,,Library and information science,lc-instructor,2021-10-06,,,,
